,name,group,link,country,party,status,id
0,Lars ADAKTUSSON,EPP,https://www.votewatch.eu/en/term8-lars-adaktusson.html,Sweden,Kristdemokraterna,Inactive,1
1,Isabella ADINOLFI,EFDD,https://www.votewatch.eu/en/term8-isabella-adinolfi.html,Italy,Movimento 5 Stelle,Active,2
2,Marco AFFRONTE,Greens/EFA,https://www.votewatch.eu/en/term8-marco-affronte.html,Italy,Independent,Active,3
3,Laura AGEA,EFDD,https://www.votewatch.eu/en/term8-laura-agea.html,Italy,Movimento 5 Stelle,Active,4
4,John Stuart AGNEW,ENF,https://www.votewatch.eu/en/term8-john-stuart-agnew.html,United Kingdom,United Kingdom Independence Party,Active,5
5,Clara Eugenia AGUILERA GARCÍA,S&D,https://www.votewatch.eu/en/term8-clara-eugenia-aguilera-garcia.html,Spain,Partido Socialista Obrero Español,Active,6
6,Daniela AIUTO,EFDD,https://www.votewatch.eu/en/term8-daniela-aiuto.html,Italy,Movimento 5 Stelle,Active,7
7,Tim AKER,EFDD,https://www.votewatch.eu/en/term8-tim-aker.html,United Kingdom,The Brexit Party,Active,8
8,Marina ALBIOL GUZMÁN,GUE-NGL,https://www.votewatch.eu/en/term8-marina-albiol-guzman.html,Spain,Izquierda Unida,Active,9
9,Jan Philipp ALBRECHT,Greens/EFA,https://www.votewatch.eu/en/term8-jan-philipp-albrecht.html,Germany,Bündnis 90/Die Grünen,Inactive,10
10,Nedzhmi ALI,ALDE/ADLE,https://www.votewatch.eu/en/term8-nedzhmi-ali.html,Bulgaria,Movement for Rights and Freedoms,Active,11
11,Louis ALIOT,ENF,https://www.votewatch.eu/en/term8-louis-aliot.html,France,Front national,Inactive,12
12,Michèle ALLIOT-MARIE,EPP,https://www.votewatch.eu/en/term8-michele-alliot-marie.html,France,Les Républicains,Active,13
13,Lucy ANDERSON,S&D,https://www.votewatch.eu/en/term8-lucy-anderson.html,United Kingdom,Labour Party,Active,14
14,Martina ANDERSON,GUE-NGL,https://www.votewatch.eu/en/term8-martina-anderson.html,United Kingdom,Sinn Féin,Active,15
15,Max ANDERSSON,Greens/EFA,https://www.votewatch.eu/en/term8-max-andersson.html,Sweden,Miljöpartiet de gröna,Active,16
16,Eric ANDRIEU,S&D,https://www.votewatch.eu/en/term8-eric-andrieu.html,France,Parti Socialiste,Active,17
17,Nikos ANDROULAKIS,S&D,https://www.votewatch.eu/en/term8-nikos-androulakis.html,Greece,Panhellenic Socialist Movement - Olive Tree,Active,18
18,Gerolf ANNEMANS,ENF,https://www.votewatch.eu/en/term8-gerolf-annemans.html,Belgium,Vlaams Belang,Active,19
19,Andrus ANSIP,ALDE/ADLE,https://www.votewatch.eu/en/term8-andrus-ansip.html,Estonia,Eesti Reformierakond,Inactive,20
20,Maria ARENA,S&D,https://www.votewatch.eu/en/term8-maria-arena.html,Belgium,Parti Socialiste,Active,21
21,Miguel ARIAS CAÑETE,EPP,https://www.votewatch.eu/en/term8-miguel-arias-canete.html,Spain,Partido Popular,Inactive,22
22,Pascal ARIMONT,EPP,https://www.votewatch.eu/en/term8-pascal-arimont.html,Belgium,Christlich Soziale Partei,Active,23
23,Marie-Christine ARNAUTU,ENF,https://www.votewatch.eu/en/term8-marie-christine-arnautu.html,France,Rassemblement national,Active,24
24,Jonathan ARNOTT,EFDD,https://www.votewatch.eu/en/term8-jonathan-arnott.html,United Kingdom,Independent,Active,25
25,Jean ARTHUIS,ALDE/ADLE,https://www.votewatch.eu/en/term8-jean-arthuis.html,France,La République en marche,Active,26
26,Richard ASHWORTH,EPP,https://www.votewatch.eu/en/term8-richard-ashworth.html,United Kingdom,Conservative Party,Active,27
27,Francisco ASSIS,S&D,https://www.votewatch.eu/en/term8-francisco-assis.html,Portugal,Partido Socialista,Active,28
28,Janice ATKINSON,ENF,https://www.votewatch.eu/en/term8-janice-atkinson.html,United Kingdom,Independent,Active,29
29,Margrete AUKEN,Greens/EFA,https://www.votewatch.eu/en/term8-margrete-auken.html,Denmark,Socialistisk Folkeparti,Active,30
30,Petras AUŠTREVIČIUS,ALDE/ADLE,https://www.votewatch.eu/en/term8-petras-austrevicius.html,Lithuania,Lietuvos Respublikos liberalų sąjūdis,Active,31
31,Inés AYALA SENDER,S&D,https://www.votewatch.eu/en/term8-ines-ayala-sender.html,Spain,Partido Socialista Obrero Español,Active,32
32,Pilar AYUSO,EPP,https://www.votewatch.eu/en/term8-pilar-ayuso.html,Spain,Partido Popular,Active,33
33,Johannes Cornelis van BAALEN,ALDE/ADLE,https://www.votewatch.eu/en/term8-johannes-cornelis-van-baalen.html,Netherlands,Volkspartij voor Vrijheid en Democratie,Active,34
34,Georges BACH,EPP,https://www.votewatch.eu/en/term8-georges-bach.html,Luxembourg,Parti chrétien social luxembourgeois,Active,35
35,Guillaume BALAS,S&D,https://www.votewatch.eu/en/term8-guillaume-balas.html,France,"Génération.s, le mouvement",Active,36
36,Zigmantas BALČYTIS,S&D,https://www.votewatch.eu/en/term8-zigmantas-balcytis.html,Lithuania,Lietuvos socialdemokratų partija,Active,37
37,Zoltán BALCZÓ,NI,https://www.votewatch.eu/en/term8-zoltan-balczo.html,Hungary,JOBBIK MAGYARORSZÁGÉRT MOZGALOM,Active,38
