"","domain_id","PC1","PC2","PC3","name","group","link","country","party","status","euro_domeniu_nume"
"1",2,-0.000650024616408201,-0.139011341230567,0.185530780517185,"Lars ADAKTUSSON","EPP","https://www.votewatch.eu/en/term8-lars-adaktusson.html","Sweden","Kristdemokraterna","Inactive","Agriculture"
"2",2,0.000557550321677361,-0.206242317231613,-0.224275755287146,"Isabella ADINOLFI","EFDD","https://www.votewatch.eu/en/term8-isabella-adinolfi.html","Italy","Movimento 5 Stelle","Active","Agriculture"
"3",2,-0.0015610713156602,-0.220194043540578,-0.194870049650312,"Marco AFFRONTE","Greens/EFA","https://www.votewatch.eu/en/term8-marco-affronte.html","Italy","Independent","Active","Agriculture"
"4",2,-0.00233383664303743,-0.195792628766732,-0.235706399271818,"Laura AGEA","EFDD","https://www.votewatch.eu/en/term8-laura-agea.html","Italy","Movimento 5 Stelle","Active","Agriculture"
"5",2,-0.00474861406939509,0.172208968389637,0.140512124592046,"John Stuart AGNEW","ENF","https://www.votewatch.eu/en/term8-john-stuart-agnew.html","United Kingdom","United Kingdom Independence Party","Active","Agriculture"
"6",2,-0.00659409726099984,-0.220748218445203,0.176721120836862,"Clara Eugenia AGUILERA GARCÍA","S&D","https://www.votewatch.eu/en/term8-clara-eugenia-aguilera-garcia.html","Spain","Partido Socialista Obrero Español","Active","Agriculture"
"7",2,-0.00731477278072337,-0.102242730211348,-0.268644750527871,"Daniela AIUTO","EFDD","https://www.votewatch.eu/en/term8-daniela-aiuto.html","Italy","Movimento 5 Stelle","Active","Agriculture"
"8",2,-0.0100598048404312,0.126640651206868,0.0958489384620522,"Tim AKER","EFDD","https://www.votewatch.eu/en/term8-tim-aker.html","United Kingdom","The Brexit Party","Active","Agriculture"
"9",2,-0.0118271809475226,-0.067817551271186,-0.213667119327596,"Marina ALBIOL GUZMÁN","GUE-NGL","https://www.votewatch.eu/en/term8-marina-albiol-guzman.html","Spain","Izquierda Unida","Active","Agriculture"
"10",2,-0.00980565784525772,-0.162311194999028,-0.110651830706835,"Jan Philipp ALBRECHT","Greens/EFA","https://www.votewatch.eu/en/term8-jan-philipp-albrecht.html","Germany","Bündnis 90/Die Grünen","Inactive","Agriculture"
"11",2,-0.0132009631388162,-0.143308313849048,0.21348179537183,"Nedzhmi ALI","ALDE/ADLE","https://www.votewatch.eu/en/term8-nedzhmi-ali.html","Bulgaria","Movement for Rights and Freedoms","Active","Agriculture"
"12",2,-0.0136629979484859,-0.100514996786348,-0.0538960366964705,"Louis ALIOT","ENF","https://www.votewatch.eu/en/term8-louis-aliot.html","France","Front national","Inactive","Agriculture"
"13",2,-0.0154760322719232,-0.139640135091219,0.253966116117653,"Michèle ALLIOT-MARIE","EPP","https://www.votewatch.eu/en/term8-michele-alliot-marie.html","France","Les Républicains","Active","Agriculture"
"14",2,-0.0156580060748113,-0.188465098487467,-0.0181547169307593,"Lucy ANDERSON","S&D","https://www.votewatch.eu/en/term8-lucy-anderson.html","United Kingdom","Labour Party","Active","Agriculture"
"15",2,-0.0172622244391644,-0.173851395159296,-0.0624929915343981,"Martina ANDERSON","GUE-NGL","https://www.votewatch.eu/en/term8-martina-anderson.html","United Kingdom","Sinn Féin","Active","Agriculture"
"16",2,-0.0181247062141413,-0.163100120546095,-0.148081687670425,"Max ANDERSSON","Greens/EFA","https://www.votewatch.eu/en/term8-max-andersson.html","Sweden","Miljöpartiet de gröna","Active","Agriculture"
"17",2,-0.0187723145745439,-0.20697853519969,0.0356237201351434,"Eric ANDRIEU","S&D","https://www.votewatch.eu/en/term8-eric-andrieu.html","France","Parti Socialiste","Active","Agriculture"
"18",2,-0.0206310936967248,-0.198309642925817,0.0841480812656028,"Nikos ANDROULAKIS","S&D","https://www.votewatch.eu/en/term8-nikos-androulakis.html","Greece","Panhellenic Socialist Movement - Olive Tree","Active","Agriculture"
"19",2,-0.0208664000540667,-0.0970894758617808,-0.0139201198986668,"Gerolf ANNEMANS","ENF","https://www.votewatch.eu/en/term8-gerolf-annemans.html","Belgium","Vlaams Belang","Active","Agriculture"
"20",2,-0.0231125298043006,-0.17815675549821,-0.0390664049441175,"Maria ARENA","S&D","https://www.votewatch.eu/en/term8-maria-arena.html","Belgium","Parti Socialiste","Active","Agriculture"
"21",2,-0.0239968311036884,-0.150998040966128,0.11567443769567,"Pascal ARIMONT","EPP","https://www.votewatch.eu/en/term8-pascal-arimont.html","Belgium","Christlich Soziale Partei","Active","Agriculture"
"22",2,-0.0235130643105898,-0.083667659314619,0.0283399467860921,"Marie-Christine ARNAUTU","ENF","https://www.votewatch.eu/en/term8-marie-christine-arnautu.html","France","Rassemblement national","Active","Agriculture"
"23",2,-0.0262473154860639,0.100206116842913,0.0186792638713206,"Jonathan ARNOTT","EFDD","https://www.votewatch.eu/en/term8-jonathan-arnott.html","United Kingdom","Independent","Active","Agriculture"
"24",2,-0.0251655476548294,-0.141870319283653,0.149165429480484,"Jean ARTHUIS","ALDE/ADLE","https://www.votewatch.eu/en/term8-jean-arthuis.html","France","La République en marche","Active","Agriculture"
"25",2,-0.0256351662276,0.0590682337380712,0.14197961782692,"Richard ASHWORTH","EPP","https://www.votewatch.eu/en/term8-richard-ashworth.html","United Kingdom","Conservative Party","Active","Agriculture"
"26",2,-0.02727060418899,-0.156814043972356,0.0512366509958384,"Francisco ASSIS","S&D","https://www.votewatch.eu/en/term8-francisco-assis.html","Portugal","Partido Socialista","Active","Agriculture"
"27",2,-0.0278176488112998,0.0976138297253635,0.0486813130466387,"Janice ATKINSON","ENF","https://www.votewatch.eu/en/term8-janice-atkinson.html","United Kingdom","Independent","Active","Agriculture"
"28",2,-0.0287533972080553,-0.115379988320043,-0.0950092272270403,"Margrete AUKEN","Greens/EFA","https://www.votewatch.eu/en/term8-margrete-auken.html","Denmark","Socialistisk Folkeparti","Active","Agriculture"
"29",2,-0.0287669888110211,0.00297405758123504,0.132757137143432,"Petras AUŠTREVIČIUS","ALDE/ADLE","https://www.votewatch.eu/en/term8-petras-austrevicius.html","Lithuania","Lietuvos Respublikos liberalų sąjūdis","Active","Agriculture"
"30",2,-0.027972940643965,-0.134036143486463,0.105079520096127,"Inés AYALA SENDER","S&D","https://www.votewatch.eu/en/term8-ines-ayala-sender.html","Spain","Partido Socialista Obrero Español","Active","Agriculture"
"31",2,-0.0309568456833407,-0.0940327069690215,0.0822461562120562,"Pilar AYUSO","EPP","https://www.votewatch.eu/en/term8-pilar-ayuso.html","Spain","Partido Popular","Active","Agriculture"
"32",2,-0.028785891540675,-0.0523362097322138,0.135562853101365,"Johannes Cornelis van BAALEN","ALDE/ADLE","https://www.votewatch.eu/en/term8-johannes-cornelis-van-baalen.html","Netherlands","Volkspartij voor Vrijheid en Democratie","Active","Agriculture"
"33",2,-0.0287512792491559,-0.0916578899298711,0.0971051821886506,"Georges BACH","EPP","https://www.votewatch.eu/en/term8-georges-bach.html","Luxembourg","Parti chrétien social luxembourgeois","Active","Agriculture"
"34",2,-0.0289121589508501,-0.132830615686181,0.0159930850266051,"Guillaume BALAS","S&D","https://www.votewatch.eu/en/term8-guillaume-balas.html","France","Génération.s, le mouvement","Active","Agriculture"
"35",2,-0.0305649056814657,-0.121170016781847,0.0554610293844829,"Zigmantas BALČYTIS","S&D","https://www.votewatch.eu/en/term8-zigmantas-balcytis.html","Lithuania","Lietuvos socialdemokratų partija","Active","Agriculture"
"36",2,-0.032265949187013,-0.0203368897798029,-0.0119353252181358,"Zoltán BALCZÓ","NI","https://www.votewatch.eu/en/term8-zoltan-balczo.html","Hungary","JOBBIK MAGYARORSZÁGÉRT MOZGALOM","Active","Agriculture"
"37",2,-0.0284837150073378,-0.0943775671200853,0.100789021462899,"Burkhard BALZ","EPP","https://www.votewatch.eu/en/term8-burkhard-balz.html","Germany","Christlich Demokratische Union Deutschlands","Inactive","Agriculture"
"38",2,-0.0302973563958534,0.0479707357500253,0.121275471884128,"Nikolay BAREKOV","ECR","https://www.votewatch.eu/en/term8-nikolay-barekov.html","Bulgaria","Reload Bulgaria Party","Active","Agriculture"
"39",2,-0.0303168213748036,0.0395544909698178,0.125854865922606,"Amjad BASHIR","ECR","https://www.votewatch.eu/en/term8-amjad-bashir.html","United Kingdom","Conservative Party","Active","Agriculture"
"40",2,-0.0318207518283853,0.0669554515777616,0.0540141489699624,"Gerard BATTEN","ENF","https://www.votewatch.eu/en/term8-gerard-batten.html","United Kingdom","United Kingdom Independence Party","Active","Agriculture"
"41",2,-0.030605691847715,-0.0450460675172704,0.00995569115649494,"Nicolas BAY","ENF","https://www.votewatch.eu/en/term8-nicolas-bay.html","France","Rassemblement national","Active","Agriculture"
"42",2,-0.0308953801241472,-0.113626120439515,-0.0312963853072665,"Hugues BAYET","S&D","https://www.votewatch.eu/en/term8-hugues-bayet.html","Belgium","Parti Socialiste","Active","Agriculture"
"43",2,-0.0314735702735288,-0.0709256657682037,0.0312791190504437,"Catherine BEARDER","ALDE/ADLE","https://www.votewatch.eu/en/term8-catherine-bearder.html","United Kingdom","Liberal Democrats","Active","Agriculture"
"44",2,-0.0316691522292137,-0.07895801902197,0.0902204912930936,"Beatriz BECERRA BASTERRECHEA","ALDE/ADLE","https://www.votewatch.eu/en/term8-beatriz-becerra-basterrechea.html","Spain","Independiente","Active","Agriculture"
"45",2,-0.0317343824168145,-0.0712192800635062,0.107739083692936,"Heinz K. BECKER","EPP","https://www.votewatch.eu/en/term8-heinz-k-becker.html","Austria","Österreichische Volkspartei","Active","Agriculture"
"46",2,-0.0315574429876685,-0.0809169451017025,-0.116330204042738,"Tiziana BEGHIN","EFDD","https://www.votewatch.eu/en/term8-tiziana-beghin.html","Italy","Movimento 5 Stelle","Active","Agriculture"
"47",2,-0.0323928800236491,0.00679311822340734,0.0900579118181105,"Bas BELDER","ECR","https://www.votewatch.eu/en/term8-bas-belder.html","Netherlands","Staatkundig Gereformeerde Partij","Active","Agriculture"
"48",2,-0.0327284526929048,-0.0616820692101255,0.0893674606378724,"Ivo BELET","EPP","https://www.votewatch.eu/en/term8-ivo-belet.html","Belgium","Christen-Democratisch & Vlaams","Active","Agriculture"
"49",2,-0.0328660542027911,0.00425178146832196,0.0952081315665909,"Bendt BENDTSEN","EPP","https://www.votewatch.eu/en/term8-bendt-bendtsen.html","Denmark","Det Konservative Folkeparti","Active","Agriculture"
"50",2,-0.0322268204716095,-0.0984430263311196,0.0391423386020311,"Brando BENIFEI","S&D","https://www.votewatch.eu/en/term8-brando-benifei.html","Italy","Partito Democratico","Active","Agriculture"
"51",2,-0.0322976017208163,-0.0928138164231707,0.00830470435211382,"Pervenche BERÈS","S&D","https://www.votewatch.eu/en/term8-pervenche-beres.html","France","Parti Socialiste","Active","Agriculture"
"52",2,-0.0323884654319578,-0.0591087041274304,-0.0161876520142143,"Joëlle BERGERON","EFDD","https://www.votewatch.eu/en/term8-joelle-bergeron.html","France","Sans étiquette","Active","Agriculture"
"53",2,-0.0333715418852445,-0.0693648074974135,0.0293659164141478,"Goffredo Maria BETTINI","S&D","https://www.votewatch.eu/en/term8-goffredo-maria-bettini.html","Italy","Partito Democratico","Active","Agriculture"
"54",2,-0.0326300779824233,-0.0729787524329268,0.0743741944416004,"Izaskun BILBAO BARANDICA","ALDE/ADLE","https://www.votewatch.eu/en/term8-izaskun-bilbao-barandica.html","Spain","Partido Nacionalista Vasco","Active","Agriculture"
"55",2,-0.0332209739597718,0.00556761449766594,-0.0100908698668083,"Dominique BILDE","ENF","https://www.votewatch.eu/en/term8-dominique-bilde.html","France","Rassemblement national","Active","Agriculture"
"56",2,-0.0328930921655672,-0.0304433084807771,0.00946580091218736,"Mara BIZZOTTO","ENF","https://www.votewatch.eu/en/term8-mara-bizzotto.html","Italy","Lega Nord","Active","Agriculture"
"57",2,-0.0327398838999504,-0.0465160893825241,-0.0865863376701819,"Malin BJÖRK","GUE-NGL","https://www.votewatch.eu/en/term8-malin-bjork.html","Sweden","Vänsterpartiet","Active","Agriculture"
"58",2,-0.0329954072986278,-0.0750708879504687,0.0603809843208063,"José BLANCO LÓPEZ","S&D","https://www.votewatch.eu/en/term8-jose-blanco-lopez.html","Spain","Partido Socialista Obrero Español","Active","Agriculture"
"59",2,-0.0330657025958611,-0.0860857806881714,0.027729925370642,"Vilija BLINKEVIČIŪTĖ","S&D","https://www.votewatch.eu/en/term8-vilija-blinkeviciute.html","Lithuania","Lietuvos socialdemokratų partija","Active","Agriculture"
