"","member_id","week.date.vote","status","n"
"1",1,2014-07-21,"Absent",34
"2",1,2014-07-21,"Present",5
"3",1,2014-09-15,"Present",2
"4",1,2014-09-22,"Absent",35
"5",1,2014-09-22,"Present",6
"6",1,2014-10-20,"Present",4
"7",1,2014-10-27,"Present",54
"8",1,2014-11-17,"Present",6
"9",1,2014-11-24,"Present",20
"10",1,2014-12-01,"Present",51
"11",1,2014-12-15,"Absent",10
"12",1,2014-12-22,"Present",55
"13",1,2015-01-12,"Present",5
"14",1,2015-01-19,"Present",41
"15",1,2015-02-09,"Present",44
"16",1,2015-02-16,"Present",7
"17",1,2015-03-09,"Present",103
"18",1,2015-03-16,"Present",40
"19",1,2015-03-23,"Present",19
"20",1,2015-04-13,"Absent",7
"21",1,2015-04-27,"Present",225
"22",1,2015-05-04,"Present",36
"23",1,2015-05-18,"Present",66
"24",1,2015-05-25,"Present",37
"25",1,2015-06-08,"Present",56
"26",1,2015-06-15,"Present",18
"27",1,2015-06-22,"Present",37
"28",1,2015-07-06,"Present",177
"29",1,2015-07-13,"Present",109
"30",1,2015-09-07,"Present",169
"31",1,2015-09-14,"Present",117
"32",1,2015-09-21,"Present",10
"33",1,2015-10-05,"Present",22
"34",1,2015-10-12,"Absent",76
"35",1,2015-10-12,"Present",13
"36",1,2015-10-26,"Present",295
"37",1,2015-11-02,"Present",63
"38",1,2015-11-09,"Present",58
"39",1,2015-11-23,"Present",129
"40",1,2015-11-30,"Absent",37
"41",1,2015-11-30,"Present",45
"42",1,2015-12-14,"Present",109
"43",1,2015-12-21,"Present",68
"44",1,2016-01-18,"Present",67
"45",1,2016-02-01,"Present",78
"46",1,2016-02-22,"Absent",83
"47",1,2016-03-07,"Present",157
"48",1,2016-04-11,"Present",198
"49",1,2016-04-25,"Absent",143
"50",1,2016-05-09,"Present",68
"51",1,2016-05-23,"Present",62
"52",1,2016-06-06,"Present",140
"53",1,2016-06-20,"Present",55
"54",1,2016-06-27,"Absent",6
"55",1,2016-07-04,"Absent",151
"56",1,2016-07-04,"Present",68
"57",1,2016-09-12,"Absent",22
"58",1,2016-09-12,"Present",125
"59",1,2016-10-03,"Present",139
"60",1,2016-10-24,"Present",231
"61",1,2016-11-21,"Present",136
"62",1,2016-11-28,"Present",40
"63",1,2016-12-12,"Present",203
"64",1,2017-01-16,"Present",35
"65",1,2017-01-30,"Absent",10
"66",1,2017-02-13,"Present",219
"67",1,2017-02-27,"Present",13
"68",1,2017-03-13,"Present",116
"69",1,2017-04-03,"Absent",1
"70",1,2017-04-03,"Present",109
"71",1,2017-04-24,"Present",139
"72",1,2017-05-15,"Present",58
"73",1,2017-05-29,"Present",20
"74",1,2017-06-12,"Present",60
"75",1,2017-07-03,"Present",147
"76",1,2017-09-11,"Absent",11
"77",1,2017-09-11,"Present",117
"78",1,2017-10-02,"Present",77
"79",1,2017-10-23,"Absent",1
"80",1,2017-10-23,"Present",246
"81",1,2017-11-13,"Present",92
"82",1,2017-11-27,"Present",29
"83",1,2017-12-11,"Present",163
"84",1,2018-01-22,"Present",117
"85",1,2018-02-12,"Absent",28
"86",1,2018-02-12,"Present",49
"87",1,2018-03-05,"Present",124
"88",1,2018-03-19,"Absent",242
"89",1,2018-04-23,"Absent",52
"90",1,2018-04-23,"Present",178
"91",1,2018-05-07,"Absent",2
"92",1,2018-05-07,"Present",16
"93",1,2018-06-04,"Present",218
"94",1,2018-06-18,"Present",46
"95",1,2018-07-09,"Absent",142
"96",1,2018-07-09,"Present",15
"97",1,2018-09-17,"Absent",45
"98",1,2018-09-17,"Present",56
"99",2,2014-07-21,"Present",39
"100",2,2014-09-15,"Present",2
"101",2,2014-09-22,"Present",41
"102",2,2014-10-20,"Present",4
"103",2,2014-10-27,"Present",54
"104",2,2014-11-17,"Present",6
"105",2,2014-11-24,"Present",20
"106",2,2014-12-01,"Present",51
"107",2,2014-12-15,"Present",10
"108",2,2014-12-22,"Present",55
"109",2,2015-01-12,"Present",5
"110",2,2015-01-19,"Present",41
"111",2,2015-02-09,"Present",44
"112",2,2015-02-16,"Present",7
"113",2,2015-03-09,"Present",103
"114",2,2015-03-16,"Present",40
"115",2,2015-03-23,"Present",19
"116",2,2015-04-13,"Present",7
"117",2,2015-04-27,"Present",225
"118",2,2015-05-04,"Present",36
"119",2,2015-05-18,"Absent",66
"120",2,2015-05-25,"Absent",37
"121",2,2015-06-08,"Present",56
"122",2,2015-06-15,"Present",18
"123",2,2015-06-22,"Present",37
"124",2,2015-07-06,"Present",177
"125",2,2015-07-13,"Present",109
"126",2,2015-09-07,"Present",169
"127",2,2015-09-14,"Present",117
"128",2,2015-09-21,"Present",10
"129",2,2015-10-05,"Present",22
"130",2,2015-10-12,"Present",89
"131",2,2015-10-26,"Present",295
"132",2,2015-11-02,"Present",63
"133",2,2015-11-09,"Present",58
"134",2,2015-11-23,"Present",129
"135",2,2015-11-30,"Present",82
"136",2,2015-12-14,"Present",109
"137",2,2015-12-21,"Present",68
"138",2,2016-01-18,"Present",67
"139",2,2016-02-01,"Present",78
"140",2,2016-02-22,"Present",83
"141",2,2016-03-07,"Present",157
"142",2,2016-04-11,"Absent",75
"143",2,2016-04-11,"Present",123
"144",2,2016-04-25,"Present",143
"145",2,2016-05-09,"Present",68
"146",2,2016-05-23,"Present",62
"147",2,2016-06-06,"Present",140
"148",2,2016-06-20,"Present",55
"149",2,2016-06-27,"Present",6
"150",2,2016-07-04,"Present",219
"151",2,2016-09-12,"Present",147
"152",2,2016-10-03,"Present",139
"153",2,2016-10-24,"Present",231
"154",2,2016-11-21,"Present",136
"155",2,2016-11-28,"Present",40
"156",2,2016-12-12,"Present",203
"157",2,2017-01-16,"Present",35
"158",2,2017-01-30,"Present",10
"159",2,2017-02-13,"Present",219
"160",2,2017-02-27,"Present",13
"161",2,2017-03-13,"Present",116
"162",2,2017-04-03,"Present",110
"163",2,2017-04-24,"Present",139
"164",2,2017-05-15,"Present",58
"165",2,2017-05-29,"Present",20
"166",2,2017-06-12,"Present",60
"167",2,2017-07-03,"Present",147
"168",2,2017-09-11,"Present",128
"169",2,2017-10-02,"Present",77
"170",2,2017-10-23,"Present",247
"171",2,2017-11-13,"Present",92
"172",2,2017-11-27,"Present",29
"173",2,2017-12-11,"Present",163
"174",2,2018-01-22,"Absent",3
"175",2,2018-01-22,"Present",114
"176",2,2018-02-12,"Present",77
"177",2,2018-03-05,"Present",124
"178",2,2018-03-19,"Present",242
"179",2,2018-04-23,"Present",230
"180",2,2018-05-07,"Present",18
"181",2,2018-06-04,"Present",218
"182",2,2018-06-18,"Present",46
"183",2,2018-07-09,"Present",157
"184",2,2018-09-17,"Present",101
"185",2,2018-10-08,"Present",54
"186",2,2018-10-29,"Present",262
"187",2,2018-11-19,"Present",162
"188",2,2018-12-03,"Present",98
